i,start_time,deployment_start,deployment_end,pod_start,pod_end,end_time,total_time,deployment_time,pod_ready_time
1,1736070780943585000,1736070780963527000,1736070780990237000,1736070780998964000,1736070805649178000,1736070805653141000,24709,26,24650
7,1736070780949271000,1736070780963197000,1736070780990963000,1736070781000119000,1736070805648939000,1736070805653141000,24703,27,24648
1,1736070803446652000,1736070803466967000,1736070803540015000,1736070803558028000,1736070805734209000,1736070805738398000,2291,73,2176
7,1736070803457350000,1736070803469323000,1736070803546143000,1736070803559082000,1736070805734913000,1736070805740128000,2282,76,2175
8,1736070803456582000,1736070803470334000,1736070803552732000,1736070803569731000,1736070806685788000,1736070806689488000,3232,82,3116
8,1736070780952689000,1736070780962721000,1736070780990740000,1736070780999743000,1736070806747927000,1736070806751591000,25798,28,25748
2,1736070803454830000,1736070803479033000,1736070803557548000,1736070803570446000,1736070807676408000,1736070807681785000,4226,78,4105
2,1736070780942963000,1736070780956350000,1736070780974845000,1736070780979652000,1736070807743385000,1736070807747231000,26804,18,26763
3,1736070780942964000,1736070780954321000,1736070780974893000,1736070780979651000,1736070808727235000,1736070808731349000,27788,20,27747
5,1736070780951334000,1736070780963272000,1736070780990987000,1736070781001910000,1736070808726689000,1736070808731349000,27780,27,27724
3,1736070803451515000,1736070803471215000,1736070803568998000,1736070803581125000,1736070808764212000,1736070808768757000,5317,97,5183
5,1736070803454445000,1736070803474577000,1736070803569549000,1736070803580351000,1736070808763702000,1736070808768757000,5314,94,5183
4,1736070780949222000,1736070780963456000,1736070780990545000,1736070780998964000,1736070809753760000,1736070809757523000,28808,27,28754
4,1736070803451964000,1736070803469980000,1736070803570528000,1736070803580907000,1736070809778034000,1736070809781452000,6329,100,6197
9,1736070780950307000,1736070780962980000,1736070780990476000,1736070780999219000,1736070810663558000,1736070810667706000,29717,27,29664
9,1736070803468460000,1736070803482982000,1736070803581061000,1736070803587796000,1736070810776516000,1736070810779729000,7311,98,7188
6,1736070780950395000,1736070780962942000,1736070780990819000,1736070780999618000,1736070811718292000,1736070811721967000,30771,27,30718
6,1736070803456209000,1736070803470007000,1736070803579933000,1736070803588294000,1736070811718293000,1736070811721974000,8265,109,8129
12,1736070813475021000,1736070813495073000,1736070813526868000,1736070813539115000,1736070815711588000,1736070815714762000,2239,31,2172
14,1736070813482977000,1736070813495372000,1736070813527185000,1736070813538717000,1736070815711141000,1736070815714766000,2231,31,2172
19,1736070813493818000,1736070813500257000,1736070813539862000,1736070813551420000,1736070816732994000,1736070816735955000,3242,39,3181
11,1736070813475003000,1736070813495625000,1736070813527176000,1736070813539699000,1736070817908851000,1736070817911994000,4436,31,4369
13,1736070813475896000,1736070813497287000,1736070813539913000,1736070813551659000,1736070818897239000,1736070818901256000,5425,42,5345
15,1736070813497743000,1736070813508518000,1736070813541536000,1736070813552226000,1736070818897239000,1736070818901256000,5403,33,5345
16,1736070813497124000,1736070813506603000,1736070813539505000,1736070813551349000,1736070819845750000,1736070819849260000,6352,32,6294
10,1736070813475061000,1736070813497840000,1736070813539511000,1736070813552327000,1736070820773276000,1736070820776475000,7301,41,7220
18,1736070813496535000,1736070813508772000,1736070813541962000,1736070813552302000,1736070821836852000,1736070821840854000,8344,33,8284
17,1736070813497395000,1736070813508494000,1736070813540262000,1736070813553220000,1736070821836851000,1736070821840855000,8343,31,8283
20,1736070823509968000,1736070823528756000,1736070823565397000,1736070823579858000,1736070825943408000,1736070825947257000,2437,36,2363
21,1736070823510836000,1736070823525508000,1736070823564211000,1736070823581723000,1736070825947263000,1736070825951168000,2440,38,2365
22,1736070823509622000,1736070823528599000,1736070823565466000,1736070823582007000,1736070826787181000,1736070826790815000,3281,36,3205
28,1736070823525089000,1736070823537853000,1736070823579883000,1736070823590389000,1736070827946003000,1736070827949115000,4424,42,4355
26,1736070823525086000,1736070823537398000,1736070823575041000,1736070823589626000,1736070828902931000,1736070828906584000,5381,37,5313
23,1736070823510347000,1736070823526950000,1736070823572555000,1736070823584573000,1736070828903000000,1736070828906585000,5396,45,5318
27,1736070823529047000,1736070823539283000,1736070823581499000,1736070823593085000,1736070829851775000,1736070829854983000,6325,42,6258
29,1736070823528815000,1736070823539798000,1736070823584586000,1736070823595422000,1736070830929259000,1736070830932263000,7403,44,7333
24,1736070823527649000,1736070823539865000,1736070823583654000,1736070823594990000,1736070831844022000,1736070831848640000,8320,43,8249
25,1736070823527749000,1736070823538715000,1736070823588201000,1736070823600032000,1736070831844020000,1736070831848642000,8320,49,8243
31,1736070833547822000,1736070833563763000,1736070833599529000,1736070833603522000,1736070834927927000,1736070834931120000,1383,35,1324
36,1736070833556740000,1736070833566822000,1736070833611289000,1736070833622978000,1736070835965315000,1736070835968512000,2411,44,2342
37,1736070833563558000,1736070833575732000,1736070833611869000,1736070833623381000,1736070836973289000,1736070836976218000,3412,36,3349
38,1736070833566438000,1736070833577745000,1736070833611802000,1736070833620626000,1736070837956787000,1736070837960694000,4394,34,4336
30,1736070833548029000,1736070833564753000,1736070833611104000,1736070833619130000,1736070838936380000,1736070838940020000,5391,46,5317
35,1736070833560275000,1736070833570674000,1736070833611175000,1736070833622886000,1736070838936804000,1736070838940019000,5379,40,5313
34,1736070833556403000,1736070833565995000,1736070833611104000,1736070833619716000,1736070839884492000,1736070839887810000,6331,45,6264
32,1736070833550377000,1736070833565513000,1736070833617289000,1736070833625970000,1736070840948449000,1736070840951830000,7401,51,7322
39,1736070833563518000,1736070833575368000,1736070833617052000,1736070833623812000,1736070841998188000,1736070842001204000,8437,41,8374
33,1736070833555158000,1736070833565882000,1736070833611416000,1736070833623430000,1736070842931899000,1736070842935416000,9380,45,9308
43,1736070843589940000,1736070843603302000,1736070843639446000,1736070843643520000,1736070844945113000,1736070844948474000,1358,36,1301
40,1736070843585598000,1736070843601617000,1736070843634382000,1736070843637833000,1736070845961032000,1736070845963995000,2378,32,2323
41,1736070843585854000,1736070843602086000,1736070843639294000,1736070843643370000,1736070846973700000,1736070846976497000,3390,37,3330
42,1736070843590575000,1736070843605024000,1736070843639352000,1736070843648528000,1736070847977936000,1736070847981640000,4391,34,4329
46,1736070843603833000,1736070843615521000,1736070843651361000,1736070843667225000,1736070848137144000,1736070848140065000,4536,35,4469
49,1736070843604546000,1736070843615980000,1736070843677296000,1736070843685786000,1736070849089335000,1736070849092643000,5488,61,5403
44,1736070843602383000,1736070843614576000,1736070843652442000,1736070843667941000,1736070850043073000,1736070850046585000,6444,37,6375
47,1736070843604141000,1736070843615802000,1736070843662074000,1736070843673446000,1736070851119003000,1736070851122030000,7517,46,7445
48,1736070843603935000,1736070843615248000,1736070843650832000,1736070843664491000,1736070852048498000,1736070852052054000,8448,35,8384
45,1736070843601597000,1736070843614754000,1736070843654136000,1736070843666083000,1736070852048498000,1736070852052139000,8450,39,8382
52,1736070853625352000,1736070853641739000,1736070853667465000,1736070853671997000,1736070855136969000,1736070855140747000,1515,25,1464
50,1736070853622840000,1736070853639794000,1736070853667451000,1736070853671997000,1736070856167416000,1736070856170515000,2547,27,2495
55,1736070853642865000,1736070853652929000,1736070853681715000,1736070853693788000,1736070857167307000,1736070857170921000,3528,28,3473
51,1736070853623129000,1736070853644435000,1736070853679621000,1736070853697903000,1736070858162262000,1736070858165387000,4542,35,4464
53,1736070853632776000,1736070853645297000,1736070853679604000,1736070853692094000,1736070859119880000,1736070859123197000,5490,34,5427
59,1736070853644037000,1736070853654047000,1736070853692080000,1736070853702654000,1736070859119879000,1736070859123198000,5479,38,5417
54,1736070853631752000,1736070853643741000,1736070853680214000,1736070853693090000,1736070860068059000,1736070860071538000,6439,36,6374
56,1736070853636678000,1736070853645914000,1736070853686318000,1736070853698198000,1736070861157394000,1736070861160446000,7523,40,7459
58,1736070853640116000,1736070853647951000,1736070853686208000,1736070853697901000,1736070862090014000,1736070862094436000,8454,38,8392
57,1736070853643117000,1736070853654389000,1736070853690818000,1736070853697909000,1736070862090014000,1736070862094433000,8451,36,8392
