i,start_time,deployment_start,deployment_end,pod_start,pod_end,end_time,total_time,deployment_time,pod_ready_time
3,1736063086738177000,1736063086751299000,1736063088971054000,1736063088974697000,1736063089592236000,1736063089595117000,2856,2219,617
7,1736063086739387000,1736063086751951000,1736063088883751000,1736063088888196000,1736063089651185000,1736063089654004000,2914,2131,762
2,1736063086737977000,1736063086751328000,1736063088938694000,1736063088943607000,1736063090594583000,1736063090597952000,3859,2187,1650
6,1736063086740407000,1736063086753269000,1736063088916087000,1736063088920102000,1736063091708474000,1736063091712242000,4971,2162,2788
8,1736063086740926000,1736063086752789000,1736063088909412000,1736063088913809000,1736063092645423000,1736063092649443000,5908,2156,3731
9,1736063086740967000,1736063086752027000,1736063088878809000,1736063088883751000,1736063092645423000,1736063092649470000,5908,2126,3761
5,1736063086739116000,1736063086749969000,1736063088840249000,1736063088849133000,1736063093580384000,1736063093583470000,6844,2090,4731
4,1736063086738528000,1736063086751760000,1736063088959502000,1736063088965183000,1736063094654979000,1736063094659506000,7920,2207,5689
1,1736063086737927000,1736063086749568000,1736063088909412000,1736063088913677000,1736063095713610000,1736063095717094000,8979,2159,6799
10,1736063096757786000,1736063096776709000,1736063097342874000,1736063097349454000,1736063098639168000,1736063098643233000,1885,566,1289
13,1736063096766563000,1736063096778545000,1736063097448658000,1736063097453218000,1736063099703789000,1736063099708994000,2942,670,2250
14,1736063096772963000,1736063096786606000,1736063097342874000,1736063097349449000,1736063101695619000,1736063101698818000,4925,556,4346
11,1736063096757810000,1736063096775262000,1736063097342876000,1736063097350422000,1736063102696391000,1736063102699044000,5941,567,5345
15,1736063096775502000,1736063096788238000,1736063097373411000,1736063097380759000,1736063103663964000,1736063103668130000,6892,585,6283
17,1736063096773886000,1736063096783629000,1736063097342874000,1736063097350089000,1736063103680424000,1736063103684289000,6910,559,6330
18,1736063096776235000,1736063096788219000,1736063097500512000,1736063097504502000,1736063104677720000,1736063104681357000,7905,712,7173
19,1736063096775904000,1736063096787921000,1736063097477770000,1736063097482574000,1736063105669872000,1736063105674028000,8898,689,8187
16,1736063096775569000,1736063096788612000,1736063097350178000,1736063097355611000,1736063106721646000,1736063106724754000,9949,561,9366
12,1736063096758235000,1736063096776333000,1736063097448452000,1736063097453218000,1736063106741079000,1736063106745052000,9986,672,9287
28,1736063106792995000,1736063106804323000,1736063109099674000,1736063109103685000,1736063109736666000,1736063109739909000,2946,2295,632
21,1736063106782959000,1736063106793278000,1736063109145415000,1736063109148683000,1736063109772749000,1736063109775969000,2993,2352,624
27,1736063106785160000,1736063106794397000,1736063109022498000,1736063109029006000,1736063110717001000,1736063110720421000,3935,2228,1687
25,1736063106784876000,1736063106794082000,1736063109132197000,1736063109136627000,1736063111812924000,1736063111817104000,5032,2338,2676
22,1736063106783566000,1736063106793309000,1736063109081190000,1736063109087081000,1736063112822410000,1736063112826410000,6042,2287,3735
20,1736063106783332000,1736063106793796000,1736063109144748000,1736063109148586000,1736063112826410000,1736063112829880000,6046,2350,3677
26,1736063106784898000,1736063106794340000,1736063109061141000,1736063109065117000,1736063113739135000,1736063113742463000,6957,2266,4674
23,1736063106783763000,1736063106794601000,1736063109032842000,1736063109037682000,1736063114807898000,1736063114811175000,8027,2238,5770
24,1736063106783449000,1736063106792612000,1736063109059958000,1736063109065117000,1736063115727406000,1736063115731094000,8947,2267,6662
29,1736063106791602000,1736063106796528000,1736063109032836000,1736063109037746000,1736063115727835000,1736063115731094000,8939,2236,6690
30,1736063116797503000,1736063116804131000,1736063117338219000,1736063117344211000,1736063118889510000,1736063118892681000,2095,534,1545
34,1736063116799750000,1736063116806740000,1736063117342851000,1736063117347721000,1736063118889510000,1736063118892693000,2092,536,1541
31,1736063116797523000,1736063116804866000,1736063117398009000,1736063117402520000,1736063119895446000,1736063119901231000,3103,593,2492
37,1736063116801271000,1736063116807297000,1736063117414084000,1736063117419856000,1736063120823386000,1736063120826805000,4025,606,3403
33,1736063116798939000,1736063116805998000,1736063117507710000,1736063117512465000,1736063121871327000,1736063121875330000,5076,701,4358
32,1736063116799597000,1736063116806031000,1736063117397239000,1736063117404644000,1736063121871327000,1736063121875333000,5075,591,4466
35,1736063116802333000,1736063116812426000,1736063117493768000,1736063117497397000,1736063122907879000,1736063122910696000,6108,681,5410
39,1736063116803759000,1736063116813299000,1736063117484311000,1736063117488756000,1736063123800642000,1736063123806053000,7002,671,6311
38,1736063116801557000,1736063116812913000,1736063117561576000,1736063117565150000,1736063124847620000,1736063124851712000,8050,748,7282
36,1736063116802738000,1736063116809457000,1736063117540577000,1736063117546800000,1736063124847620000,1736063124851712000,8048,731,7300
42,1736063126820178000,1736063126839458000,1736063127435684000,1736063127440691000,1736063128812190000,1736063128815255000,1995,596,1371
43,1736063126821088000,1736063126839615000,1736063127488840000,1736063127504360000,1736063128885918000,1736063128889014000,2067,649,1381
41,1736063126820088000,1736063126840120000,1736063127448749000,1736063127454299000,1736063129873481000,1736063129876573000,3056,608,2419
40,1736063126820287000,1736063126839184000,1736063127413484000,1736063127419979000,1736063130870409000,1736063130874392000,4054,574,3450
46,1736063126836165000,1736063126848761000,1736063127492088000,1736063127498044000,1736063131992691000,1736063131996494000,5160,643,4494
49,1736063126838524000,1736063126847283000,1736063127507412000,1736063127513467000,1736063131993059000,1736063131996510000,5157,660,4479
44,1736063126821091000,1736063126840712000,1736063127494420000,1736063127500315000,1736063132910523000,1736063132913954000,6092,653,5410
47,1736063126838455000,1736063126850212000,1736063127543089000,1736063127552146000,1736063133849970000,1736063133853084000,7014,692,6297
45,1736063126827569000,1736063126841172000,1736063127586254000,1736063127590278000,1736063134938630000,1736063134942121000,8114,745,7348
48,1736063126840630000,1736063126851215000,1736063127594570000,1736063127597937000,1736063134938630000,1736063134942096000,8101,743,7340
51,1736063136858443000,1736063136878530000,1736063137483003000,1736063137488547000,1736063138894775000,1736063138900624000,2042,604,1406
54,1736063136874968000,1736063136881133000,1736063137442343000,1736063137446937000,1736063138894704000,1736063138900411000,2025,561,1447
53,1736063136859619000,1736063136878061000,1736063137434326000,1736063137441107000,1736063139928178000,1736063139931338000,3071,556,2487
56,1736063136877941000,1736063136883910000,1736063137466544000,1736063137472834000,1736063140953677000,1736063140958684000,4080,582,3480
57,1736063136874900000,1736063136881133000,1736063137428482000,1736063137435765000,1736063141941987000,1736063141945455000,5070,547,4506
59,1736063136876718000,1736063136886957000,1736063137581093000,1736063137584712000,1736063142039141000,1736063142042946000,5166,694,4454
50,1736063136858432000,1736063136877934000,1736063137523212000,1736063137528738000,1736063142960875000,1736063142963899000,6105,645,5432
52,1736063136859444000,1736063136878065000,1736063137556312000,1736063137560283000,1736063144031158000,1736063144034277000,7174,678,6470
55,1736063136878492000,1736063136885902000,1736063137629600000,1736063137634033000,1736063144952011000,1736063144956585000,8078,743,7317
58,1736063136878530000,1736063136887364000,1736063137577295000,1736063137581092000,1736063144952011000,1736063144956585000,8078,689,7370
66,1736063146903887000,1736063146914910000,1736063147608885000,1736063147614101000,1736063149004849000,1736063149007919000,2104,693,1390
61,1736063146893831000,1736063146908000000,1736063147504738000,1736063147510483000,1736063149043061000,1736063149046285000,2152,596,1532
65,1736063146903900000,1736063146913203000,1736063147637225000,1736063147643898000,1736063150003748000,1736063150006975000,3103,724,2359
62,1736063146895281000,1736063146908180000,1736063147506322000,1736063147511410000,1736063151047589000,1736063151051801000,4156,598,3536
63,1736063146902851000,1736063146912119000,1736063147581539000,1736063147585024000,1736063151987900000,1736063151991137000,5088,669,4402
60,1736063146894187000,1736063146908444000,1736063147507015000,1736063147512069000,1736063152036061000,1736063152039217000,5145,598,4523
64,1736063146901202000,1736063146913271000,1736063147710233000,1736063147715610000,1736063152990962000,1736063152994400000,6093,796,5275
